HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
10040,OTHER,INTEGUMENTARY,"23,840","$1,676,903","$1,230,469"
,TOTAL,,"23,840","$1,676,903","$1,230,469"
10060,OTHER,,"614,732","$44,759,077","$32,669,578"
,TOTAL,,"614,732","$44,759,077","$32,669,578"
10061,SG,,1,$127,$102
,80'S,,3,$41,$33
,OTHER,,"122,938","$16,214,244","$12,290,802"
,TOTAL,,"122,942","$16,214,413","$12,290,937"
10080,OTHER,,"1,908","$151,774","$107,373"
,TOTAL,,"1,908","$151,774","$107,373"
10081,OTHER,,713,"$102,211","$77,338"
,TOTAL,,713,"$102,211","$77,338"
10120,OTHER,,"36,504","$2,844,874","$2,034,361"
,TOTAL,,"36,504","$2,844,874","$2,034,361"
10121,OTHER,,"7,154","$1,054,174","$804,097"
,TOTAL,,"7,154","$1,054,174","$804,097"
10140,80'S,,8,$83,$66
,OTHER,,"73,697","$6,193,440","$4,684,025"
,TOTAL,,"73,705","$6,193,523","$4,684,091"
10160,OTHER,,"57,918","$4,310,082","$3,248,437"
,TOTAL,,"57,918","$4,310,082","$3,248,437"
10180,SG,,185,"$74,806","$59,318"
,80'S,,8,$122,$98
,OTHER,,"12,473","$1,445,932","$1,138,123"
,TOTAL,,"12,666","$1,520,860","$1,197,538"
11000,80'S,,4,$90,$72
,OTHER,,"250,707","$9,580,631","$7,114,469"
,TOTAL,,"250,711","$9,580,721","$7,114,541"
11001,OTHER,,"3,320","$69,766","$53,665"
,TOTAL,,"3,320","$69,766","$53,665"
11010,80'S,,10,$421,$337
,OTHER,,"3,459","$668,877","$527,278"
,TOTAL,,"3,469","$669,298","$527,615"
11011,80'S,,14,$633,$507
,OTHER,,"4,544","$1,280,092","$1,014,843"
,TOTAL,,"4,558","$1,280,725","$1,015,350"
11012,80'S,,26,"$1,415","$1,132"
,OTHER,,"5,509","$1,937,748","$1,532,342"
,TOTAL,,"5,535","$1,939,163","$1,533,474"
11040,80'S,,3,$9,$7
,OTHER,,"1,167,167","$36,820,655","$27,478,067"
,TOTAL,,"1,167,170","$36,820,664","$27,478,074"
11041,80'S,,3,$11,$9
,OTHER,,"528,487","$25,461,206","$19,349,315"
,TOTAL,,"528,490","$25,461,217","$19,349,323"
11042,SG,,"1,164","$433,979","$344,799"
,80'S,,18,$105,$84
