HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
10040,OTHER,INTEGUMENTARY,"25,707","$1,959,639.89 ","$1,456,895.09 "
,TOTAL,,"25,707","$1,959,639.89 ","$1,456,895.09 "
10060,80'S,,1,$4.66 ,$3.73 
,OTHER,,"605,630","$56,184,102.11 ","$41,875,437.25 "
,TOTAL,,"605,631","$56,184,106.77 ","$41,875,440.98 "
10061,80'S,,1,$25.71 ,$20.57 
,OTHER,,"138,258","$21,278,721.73 ","$16,376,111.53 "
,TOTAL,,"138,259","$21,278,747.44 ","$16,376,132.10 "
10080,OTHER,,"2,127","$217,816.26 ","$159,311.13 "
,TOTAL,,"2,127","$217,816.26 ","$159,311.13 "
10081,OTHER,,732,"$124,883.86 ","$96,125.11 "
,TOTAL,,732,"$124,883.86 ","$96,125.11 "
10120,OTHER,,"40,553","$3,630,178.70 ","$2,659,073.06 "
,TOTAL,,"40,553","$3,630,178.70 ","$2,659,073.06 "
10121,SG,,92,"$37,533.24 ","$30,026.56 "
,OTHER,,"7,610","$1,370,946.24 ","$1,062,174.11 "
,TOTAL,,"7,702","$1,408,479.48 ","$1,092,200.67 "
10140,80'S,,2,$19.79 ,$15.83 
,OTHER,,"70,595","$7,265,971.01 ","$5,590,231.78 "
,TOTAL,,"70,597","$7,265,990.80 ","$5,590,247.61 "
10160,OTHER,,"60,246","$4,249,583.84 ","$3,230,280.83 "
,TOTAL,,"60,246","$4,249,583.84 ","$3,230,280.83 "
10180,SG,,318,"$132,278.14 ","$104,246.20 "
,80'S,,1,$22.73 ,$18.18 
,OTHER,,"16,515","$1,971,592.64 ","$1,553,403.51 "
,TOTAL,,"16,834","$2,103,893.51 ","$1,657,667.89 "
11000,OTHER,,"189,683","$8,409,288.75 ","$6,338,703.34 "
,TOTAL,,"189,683","$8,409,288.75 ","$6,338,703.34 "
11001,OTHER,,"2,823","$66,789.42 ","$51,440.20 "
,TOTAL,,"2,823","$66,789.42 ","$51,440.20 "
11010,SG,,20,"$6,617.21 ","$5,293.78 "
,80'S,,6,$150.89 ,$120.71 
,OTHER,,"3,423","$572,169.57 ","$450,403.76 "
,TOTAL,,"3,449","$578,937.67 ","$455,818.25 "
11011,SG,,9,"$3,093.54 ","$2,474.83 "
,80'S,,9,$268.96 ,$215.17 
,OTHER,,"3,594","$897,509.75 ","$710,992.22 "
