HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
10040,OTHER,INTEGUMENTARY,"26,775","$2,090,603.42 ","$1,570,004.94 "
,TOTAL,,"26,775","$2,090,603.42 ","$1,570,004.94 "
10060,OTHER,,"603,685","$53,251,142.85 ","$39,782,303.88 "
,TOTAL,,"603,685","$53,251,142.85 ","$39,782,303.88 "
10061,OTHER,,"152,850","$24,010,869.99 ","$18,539,592.07 "
,TOTAL,,"152,850","$24,010,869.99 ","$18,539,592.07 "
10080,OTHER,,"2,116","$268,809.69 ","$200,238.60 "
,TOTAL,,"2,116","$268,809.69 ","$200,238.60 "
10081,OTHER,,772,"$145,845.41 ","$111,563.96 "
,TOTAL,,772,"$145,845.41 ","$111,563.96 "
10120,OTHER,,"39,791","$3,629,930.04 ","$2,674,053.29 "
,TOTAL,,"39,791","$3,629,930.04 ","$2,674,053.29 "
10121,SG,,284,"$116,292.83 ","$91,707.85 "
,80'S,,1,$28.05 ,$22.44 
,OTHER,,"8,121","$1,560,832.58 ","$1,217,548.78 "
,TOTAL,,"8,406","$1,677,153.46 ","$1,309,279.07 "
10140,OTHER,,"73,946","$7,916,491.06 ","$6,126,858.32 "
,TOTAL,,"73,946","$7,916,491.06 ","$6,126,858.32 "
10160,OTHER,,"63,475","$4,564,433.65 ","$3,485,861.44 "
,TOTAL,,"63,475","$4,564,433.65 ","$3,485,861.44 "
10180,SG,,321,"$132,183.27 ","$103,232.93 "
,OTHER,,"17,071","$2,670,786.52 ","$2,107,661.40 "
,TOTAL,,"17,392","$2,802,969.79 ","$2,210,894.33 "
11000,OTHER,,"176,727","$7,560,759.06 ","$5,716,171.12 "
,TOTAL,,"176,727","$7,560,759.06 ","$5,716,171.12 "
11001,OTHER,,"3,239","$64,235.21 ","$49,716.71 "
,TOTAL,,"3,239","$64,235.21 ","$49,716.71 "
11010,SG,,56,"$18,843.65 ","$15,037.18 "
,80'S,,5,$173.63 ,$138.90 
,OTHER,,"3,411","$713,115.53 ","$564,098.54 "
,TOTAL,,"3,472","$732,132.81 ","$579,274.62 "
11011,SG,,37,"$13,272.30 ","$10,617.85 "
,80'S,,2,$64.98 ,$51.98 
,OTHER,,"3,497","$930,068.17 ","$736,153.05 "
,TOTAL,,"3,536","$943,405.45 ","$746,822.88 "
11012,SG,,138,"$40,435.12 ","$31,720.96 "
,80'S,,22,"$1,221.89 ",$977.55 
,OTHER,,"7,237","$2,223,618.15 ","$1,761,268.47 "
,TOTAL,,"7,397","$2,265,275.16 ","$1,793,966.98 "
11040,OTHER,,"1,287,384","$44,237,597.61 ","$33,427,733.36 "
,TOTAL,,"1,287,384","$44,237,597.61 ","$33,427,733.36 "
11041,OTHER,,"738,344","$36,645,479.73 ","$28,130,419.72 "
,TOTAL,,"738,344","$36,645,479.73 ","$28,130,419.72 "
11042,SG,,"4,223","$1,549,446.45 ","$1,227,245.89 "
,80'S,,1,$11.56 ,$9.25 
,OTHER,,"944,683","$59,725,837.29 ","$46,709,407.04 "
,TOTAL,,"948,907","$61,275,295.30 ","$47,936,662.18 "
11043,SG,,"1,266","$468,324.01 ","$372,263.81 "
,OTHER,,"193,327","$34,321,676.20 ","$27,221,002.29 "
,TOTAL,,"194,593","$34,790,000.21 ","$27,593,266.10 "
11044,SG,,870,"$318,442.76 ","$252,999.34 "
,OTHER,,"53,074","$12,558,598.83 ","$9,958,418.74 "
,TOTAL,,"53,944","$12,877,041.59 ","$10,211,418.08 "
11055,OTHER,,"619,015","$22,326,091.07 ","$16,590,700.26 "
,TOTAL,,"619,015","$22,326,091.07 ","$16,590,700.26 "
11056,OTHER,,"1,233,732","$57,936,275.07 ","$43,187,649.74 "
,TOTAL,,"1,233,732","$57,936,275.07 ","$43,187,649.74 "
11057,OTHER,,"250,239","$14,353,857.94 ","$10,692,483.23 "
,TOTAL,,"250,239","$14,353,857.94 ","$10,692,483.23 "
11100,OTHER,,"1,981,351","$146,802,641.75 ","$110,417,304.78 "
,TOTAL,,"1,981,351","$146,802,641.75 ","$110,417,304.78 "
11101,OTHER,,"816,464","$23,250,045.38 ","$18,272,581.46 "
,TOTAL,,"816,464","$23,250,045.38 ","$18,272,581.46 "
11200,OTHER,,"114,591","$7,003,700.47 ","$5,064,976.47 "
,TOTAL,,"114,591","$7,003,700.47 ","$5,064,976.47 "
11201,OTHER,,"14,494","$239,955.43 ","$184,116.19 "
,TOTAL,,"14,494","$239,955.43 ","$184,116.19 "
11300,OTHER,,"89,645","$3,320,988.46 ","$2,478,548.11 "
,TOTAL,,"89,645","$3,320,988.46 ","$2,478,548.11 "
11301,OTHER,,"162,706","$9,147,018.88 ","$6,923,377.50 "
,TOTAL,,"162,706","$9,147,018.88 ","$6,923,377.50 "
11302,OTHER,,"99,975","$7,387,688.42 ","$5,623,873.78 "
,TOTAL,,"99,975","$7,387,688.42 ","$5,623,873.78 "
11303,OTHER,,"17,104","$1,641,282.86 ","$1,256,027.93 "
,TOTAL,,"17,104","$1,641,282.86 ","$1,256,027.93 "
11305,OTHER,,"111,263","$5,172,033.21 ","$3,858,099.17 "
,TOTAL,,"111,263","$5,172,033.21 ","$3,858,099.17 "
11306,OTHER,,"95,940","$6,140,190.66 ","$4,648,265.65 "
,TOTAL,,"95,940","$6,140,190.66 ","$4,648,265.65 "
11307,OTHER,,"41,300","$3,214,552.63 ","$2,451,413.60 "
,TOTAL,,"41,300","$3,214,552.63 ","$2,451,413.60 "
11308,OTHER,,"8,340","$789,207.13 ","$606,716.28 "
,TOTAL,,"8,340","$789,207.13 ","$606,716.28 "
11310,OTHER,,"101,063","$5,187,634.86 ","$3,882,947.97 "
,TOTAL,,"101,063","$5,187,634.86 ","$3,882,947.97 "
11311,OTHER,,"127,426","$8,842,523.52 ","$6,697,367.71 "
,TOTAL,,"127,426","$8,842,523.52 ","$6,697,367.71 "
11312,OTHER,,"54,320","$4,645,316.82 ","$3,537,896.26 "
,TOTAL,,"54,320","$4,645,316.82 ","$3,537,896.26 "
11313,OTHER,,"7,913","$943,207.98 ","$724,892.63 "
,TOTAL,,"7,913","$943,207.98 ","$724,892.63 "
11400,OTHER,,"58,680","$4,969,693.54 ","$3,753,545.65 "
,TOTAL,,"58,680","$4,969,693.54 ","$3,753,545.65 "
11401,OTHER,,"103,568","$10,044,129.54 ","$7,668,791.44 "
,TOTAL,,"103,568","$10,044,129.54 ","$7,668,791.44 "
11402,OTHER,,"123,104","$13,356,095.81 ","$10,255,084.17 "
,TOTAL,,"123,104","$13,356,095.81 ","$10,255,084.17 "
11403,OTHER,,"58,320","$7,161,722.84 ","$5,520,297.35 "
,TOTAL,,"58,320","$7,161,722.84 ","$5,520,297.35 "
11404,SG,,"1,381","$378,649.88 ","$297,819.91 "
,OTHER,,"23,420","$3,191,190.09 ","$2,462,116.80 "
,TOTAL,,"24,801","$3,569,839.97 ","$2,759,936.71 "
11406,SG,,"1,751","$690,884.63 ","$544,241.85 "
,80'S,,1,$32.91 ,$26.33 
,OTHER,,"23,266","$3,826,905.42 ","$2,982,321.58 "
,TOTAL,,"25,018","$4,517,822.96 ","$3,526,589.76 "
11420,OTHER,,"37,485","$3,154,146.14 ","$2,399,126.23 "
,TOTAL,,"37,485","$3,154,146.14 ","$2,399,126.23 "
11421,OTHER,,"49,753","$5,275,263.74 ","$4,032,541.18 "
,TOTAL,,"49,753","$5,275,263.74 ","$4,032,541.18 "
11422,OTHER,,"51,773","$6,118,859.61 ","$4,702,195.83 "
,TOTAL,,"51,773","$6,118,859.61 ","$4,702,195.83 "
11423,OTHER,,"22,019","$3,080,713.73 ","$2,372,793.06 "
