HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
10040,SG,INTEGUMENTARY,4,$63.85 ,$51.08 
,OTHER,,"26,892","$2,020,615.32 ","$1,487,165.78 "
,TOTAL,,"26,896","$2,020,679.17 ","$1,487,216.86 "
1006F,OTHER,,33,$0.33 ,$0.31 
,TOTAL,,33,$0.33 ,$0.31 
10060,SG,,93,"$4,267.05 ","$3,222.94 "
,80'S,,1,$12.97 ,$10.38 
,OTHER,,"550,741","$51,082,348.76 ","$37,893,907.73 "
,TOTAL,,"550,835","$51,086,628.78 ","$37,897,141.05 "
10061,SG,,86,"$4,252.94 ","$3,308.42 "
,80'S,,1,$23.29 ,$18.63 
,OTHER,,"180,087","$28,012,854.48 ","$21,446,269.32 "
,TOTAL,,"180,174","$28,017,130.71 ","$21,449,596.37 "
10080,SG,,2,$87.92 ,$70.34 
,OTHER,,"1,978","$246,614.45 ","$180,539.32 "
,TOTAL,,"1,980","$246,702.37 ","$180,609.66 "
10081,SG,,3,$436.97 ,$248.16 
,OTHER,,799,"$144,557.41 ","$111,469.95 "
,TOTAL,,802,"$144,994.38 ","$111,718.11 "
10120,SG,,65,"$3,094.72 ","$2,351.78 "
,OTHER,,"40,677","$4,482,724.65 ","$3,317,758.46 "
,TOTAL,,"40,742","$4,485,819.37 ","$3,320,110.24 "
10121,SG,,74,"$34,143.04 ","$26,960.05 "
,80'S,,1,$21.48 ,$17.18 
,OTHER,,"7,409","$1,511,471.96 ","$1,173,981.18 "
,TOTAL,,"7,484","$1,545,636.48 ","$1,200,958.41 "
10140,SG,,134,"$8,600.02 ","$6,644.75 "
,80'S,,2,$30.63 ,$24.50 
,OTHER,,"74,893","$8,955,441.81 ","$6,904,850.84 "
,TOTAL,,"75,029","$8,964,072.46 ","$6,911,520.09 "
10160,SG,,17,$583.37 ,$466.70 
,OTHER,,"66,268","$6,564,580.09 ","$5,038,702.85 "
,TOTAL,,"66,285","$6,565,163.46 ","$5,039,169.55 "
10180,SG,,81,"$37,614.79 ","$28,754.67 "
,80'S,,3,$73.57 ,$58.85 
,OTHER,,"15,203","$2,316,232.29 ","$1,822,794.16 "
,TOTAL,,"15,287","$2,353,920.65 ","$1,851,607.68 "
1036F,OTHER,,3,$0.03 ,$0.03 
,TOTAL,,3,$0.03 ,$0.03 
1090F,OTHER,,5,$0.05 ,$0.05 
,TOTAL,,5,$0.05 ,$0.05 
1091F,OTHER,,21,$0.21 ,$0.19 
,TOTAL,,21,$0.21 ,$0.19 
1100F,OTHER,,24,$0.24 ,$0.24 
,TOTAL,,24,$0.24 ,$0.24 
11000,SG,,9,$136.74 ,$109.39 
,OTHER,,"124,138","$5,459,007.08 ","$4,126,945.09 "
,TOTAL,,"124,147","$5,459,143.82 ","$4,127,054.48 "
11001,OTHER,,"2,432","$49,222.65 ","$37,797.16 "
,TOTAL,,"2,432","$49,222.65 ","$37,797.16 "
11004,80'S,,2,$160.12 ,$128.10 
,OTHER,,"2,901","$1,374,429.82 ","$1,089,226.76 "
,TOTAL,,"2,903","$1,374,589.94 ","$1,089,354.86 "
11005,80'S,,46,"$4,941.93 ","$3,892.86 "
,OTHER,,"4,158","$2,780,497.40 ","$2,208,870.28 "
,TOTAL,,"4,204","$2,785,439.33 ","$2,212,763.14 "
11006,OTHER,,816,"$483,940.11 ","$383,370.80 "
,TOTAL,,816,"$483,940.11 ","$383,370.80 "
11008,80'S,,36,"$1,402.22 ","$1,121.81 "
,OTHER,,"1,698","$423,130.82 ","$334,559.31 "
,TOTAL,,"1,734","$424,533.04 ","$335,681.12 "
1101F,OTHER,,68,$0.68 ,$0.66 
,TOTAL,,68,$0.68 ,$0.66 
11010,SG,,14,"$2,533.85 ","$1,919.08 "
,OTHER,,"2,624","$515,071.24 ","$404,716.03 "
,TOTAL,,"2,638","$517,605.09 ","$406,635.11 "
11011,SG,,5,$971.07 ,$776.86 
,80'S,,2,$45.47 ,$36.37 
,OTHER,,"2,194","$517,661.05 ","$410,156.34 "
,TOTAL,,"2,201","$518,677.59 ","$410,969.57 "
11012,SG,,46,"$6,524.65 ","$5,121.36 "
,80'S,,8,$476.90 ,$381.52 
,OTHER,,"7,730","$2,005,603.35 ","$1,583,905.70 "
,TOTAL,,"7,784","$2,012,604.90 ","$1,589,408.58 "
11040,SG,,97,"$1,546.96 ","$1,201.73 "
,OTHER,,"1,017,141","$35,758,967.85 ","$26,799,480.38 "
,TOTAL,,"1,017,238","$35,760,514.81 ","$26,800,682.11 "
11041,SG,,284,"$4,865.98 ","$3,845.04 "
,OTHER,,"717,196","$29,613,507.44 ","$22,599,989.72 "
,TOTAL,,"717,480","$29,618,373.42 ","$22,603,834.76 "
11042,SG,,"4,194","$533,255.21 ","$415,246.47 "
,80'S,,1,$5.97 ,$4.30 
,OTHER,,"1,180,084","$57,509,933.08 ","$44,780,414.02 "
,TOTAL,,"1,184,279","$58,043,194.26 ","$45,195,664.79 "
11043,SG,,604,"$78,568.32 ","$62,072.16 "
,80'S,,1,$33.36 ,$26.69 
,OTHER,,"169,538","$33,901,478.84 ","$26,856,675.09 "
,TOTAL,,"170,143","$33,980,080.52 ","$26,918,773.94 "
11044,SG,,263,"$78,156.81 ","$61,884.54 "
,80'S,,1,$46.06 ,$36.85 
,OTHER,,"53,883","$14,137,837.80 ","$11,214,556.63 "
,TOTAL,,"54,147","$14,216,040.67 ","$11,276,478.02 "
11055,SG,,10,$144.73 ,$115.80 
,OTHER,,"746,556","$30,776,749.43 ","$22,781,830.51 "
,TOTAL,,"746,566","$30,776,894.16 ","$22,781,946.31 "
11056,SG,,1,$12.46 ,$9.97 
,80'S,,3,$26.31 ,$14.04 
,OTHER,,"1,587,187","$82,690,278.39 ","$61,449,295.03 "
,TOTAL,,"1,587,191","$82,690,317.16 ","$61,449,319.04 "
11057,OTHER,,"325,130","$20,406,100.10 ","$15,192,810.97 "
,TOTAL,,"325,130","$20,406,100.10 ","$15,192,810.97 "
11100,SG,,529,"$11,101.14 ","$8,766.91 "
,OTHER,,"2,457,294","$193,403,788.93 ","$144,031,507.36 "
,TOTAL,,"2,457,823","$193,414,890.07 ","$144,040,274.27 "
11101,SG,,216,"$1,513.44 ","$1,183.88 "
,OTHER,,"1,069,461","$30,263,436.43 ","$23,653,068.78 "
,TOTAL,,"1,069,677","$30,264,949.87 ","$23,654,252.66 "
1111F,OTHER,,2,$0.02 ,$0.02 
,TOTAL,,2,$0.02 ,$0.02 
1118F,OTHER,,3,$0.03 ,$0.02 
,TOTAL,,3,$0.03 ,$0.02 
11200,SG,,102,"$1,924.39 ","$1,528.13 "
,OTHER,,"109,855","$6,337,565.68 ","$4,512,616.69 "
,TOTAL,,"109,957","$6,339,490.07 ","$4,514,144.82 "
11201,SG,,21,$62.99 ,$50.37 
