HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
10040,OTHER,INTEGUMENTARY,"25,329","$2,101,702","$1,559,856"
,TOTAL,,"25,329","$2,101,702","$1,559,856"
10060,OTHER,,"608,538","$50,270,924","$36,979,321"
,TOTAL,,"608,538","$50,270,924","$36,979,321"
10061,OTHER,,"122,236","$18,156,679","$13,867,477"
,TOTAL,,"122,236","$18,156,679","$13,867,477"
10080,OTHER,,"2,058","$189,537","$135,815"
,TOTAL,,"2,058","$189,537","$135,815"
10081,OTHER,,716,"$113,827","$86,420"
,TOTAL,,716,"$113,827","$86,420"
10120,OTHER,,"38,234","$3,463,887","$2,512,131"
,TOTAL,,"38,234","$3,463,887","$2,512,131"
10121,OTHER,,"7,747","$1,300,261","$1,002,020"
,TOTAL,,"7,747","$1,300,261","$1,002,020"
10140,OTHER,,"71,413","$6,923,831","$5,278,529"
,TOTAL,,"71,413","$6,923,831","$5,278,529"
10160,OTHER,,"58,267","$4,992,824","$3,793,842"
,TOTAL,,"58,267","$4,992,824","$3,793,842"
10180,SG,,222,"$88,733","$69,438"
,80'S,,3,$52,$41
,OTHER,,"14,424","$1,763,237","$1,389,197"
,TOTAL,,"14,649","$1,852,022","$1,458,676"
11000,OTHER,,"219,745","$9,147,779","$6,832,161"
,TOTAL,,"219,745","$9,147,779","$6,832,161"
11001,OTHER,,"2,575","$56,809","$43,366"
,TOTAL,,"2,575","$56,809","$43,366"
11010,80'S,,1,$20,$16
,OTHER,,"3,324","$618,967","$485,918"
,TOTAL,,"3,325","$618,987","$485,934"
11011,80'S,,7,$248,$198
,OTHER,,"3,844","$1,047,972","$832,805"
,TOTAL,,"3,851","$1,048,220","$833,003"
11012,80'S,,11,$579,$464
,OTHER,,"5,760","$1,908,352","$1,511,332"
,TOTAL,,"5,771","$1,908,931","$1,511,796"
11040,OTHER,,"1,236,168","$41,706,324","$31,392,894"
,TOTAL,,"1,236,168","$41,706,324","$31,392,894"
11041,OTHER,,"566,901","$29,271,478","$22,353,672"
,TOTAL,,"566,901","$29,271,478","$22,353,672"
11042,SG,,"1,164","$431,195","$341,639"
,80'S,,6,$39,$31
,OTHER,,"621,075","$39,981,541","$31,201,395"
,TOTAL,,"622,245","$40,412,775","$31,543,065"
11043,SG,,435,"$156,875","$124,369"
,80'S,,3,$37,$30
,OTHER,,"142,588","$21,105,033","$16,705,105"
,TOTAL,,"143,026","$21,261,946","$16,829,504"
11044,SG,,528,"$183,618","$146,135"
,80'S,,1,$32,$25
,OTHER,,"42,968","$7,980,209","$6,324,427"
,TOTAL,,"43,497","$8,163,858","$6,470,587"
11055,OTHER,,"463,011","$10,529,953","$7,685,869"
,TOTAL,,"463,011","$10,529,953","$7,685,869"
11056,OTHER,,"940,060","$28,666,921","$21,035,375"
,TOTAL,,"940,060","$28,666,921","$21,035,375"
11057,OTHER,,"193,314","$6,842,675","$5,011,237"
,TOTAL,,"193,314","$6,842,675","$5,011,237"
11100,80'S,,1,$12,$9
,OTHER,,"1,606,202","$122,016,500","$90,542,900"
,TOTAL,,"1,606,203","$122,016,512","$90,542,909"
11101,OTHER,,"637,096","$25,199,960","$19,833,373"
,TOTAL,,"637,096","$25,199,960","$19,833,373"
11200,SG,,2,$418,$335
,OTHER,,"114,440","$6,525,859","$4,606,974"
,TOTAL,,"114,442","$6,526,277","$4,607,309"
11201,OTHER,,"13,424","$307,076","$234,179"
,TOTAL,,"13,424","$307,076","$234,179"
11300,OTHER,,"88,190","$3,226,836","$2,375,504"
,TOTAL,,"88,190","$3,226,836","$2,375,504"
11301,OTHER,,"155,351","$8,552,982","$6,380,458"
,TOTAL,,"155,351","$8,552,982","$6,380,458"
11302,OTHER,,"93,975","$6,678,948","$5,013,390"
,TOTAL,,"93,975","$6,678,948","$5,013,390"
11303,OTHER,,"15,486","$1,402,827","$1,058,363"
,TOTAL,,"15,486","$1,402,827","$1,058,363"
11305,OTHER,,"96,947","$4,209,811","$3,101,191"
,TOTAL,,"96,947","$4,209,811","$3,101,191"
11306,80'S,,1,$4,
,OTHER,,"85,373","$5,280,237","$3,940,623"
,TOTAL,,"85,374","$5,280,241","$3,940,623"
11307,OTHER,,"38,189","$2,880,810","$2,170,959"
,TOTAL,,"38,189","$2,880,810","$2,170,959"
11308,OTHER,,"8,280","$779,293","$589,305"
,TOTAL,,"8,280","$779,293","$589,305"
11310,OTHER,,"101,651","$5,104,874","$3,769,397"
,TOTAL,,"101,651","$5,104,874","$3,769,397"
11311,OTHER,,"124,963","$8,695,163","$6,478,109"
,TOTAL,,"124,963","$8,695,163","$6,478,109"
11312,OTHER,,"52,260","$4,324,118","$3,250,313"
,TOTAL,,"52,260","$4,324,118","$3,250,313"
11313,OTHER,,"7,494","$840,330","$639,790"
,TOTAL,,"7,494","$840,330","$639,790"
11400,OTHER,,"68,766","$5,676,750","$4,246,924"
,TOTAL,,"68,766","$5,676,750","$4,246,924"
11401,SG,,4,$908,$727
,OTHER,,"112,664","$11,002,141","$8,337,528"
,TOTAL,,"112,668","$11,003,050","$8,338,255"
11402,SG,,27,"$6,118","$4,894"
,80'S,,1,$8,$7
,OTHER,,"117,762","$13,045,181","$9,937,431"
,TOTAL,,"117,790","$13,051,307","$9,942,332"
11403,SG,,5,"$1,083",$866
,OTHER,,"51,715","$6,687,680","$5,121,498"
,TOTAL,,"51,720","$6,688,763","$5,122,364"
11404,SG,,"1,112","$307,482","$243,252"
,80'S,,1,$12,$10
,OTHER,,"20,489","$2,865,686","$2,202,821"
,TOTAL,,"21,602","$3,173,180","$2,446,082"
11406,SG,,"1,383","$526,936","$415,292"
,OTHER,,"21,863","$3,733,850","$2,902,951"
,TOTAL,,"23,246","$4,260,786","$3,318,243"
11420,SG,,4,$774,$619
,OTHER,,"39,907","$3,219,319","$2,411,251"
,TOTAL,,"39,911","$3,220,092","$2,411,870"
11421,SG,,8,"$2,186","$1,749"
,80'S,,1,$9,$7
,OTHER,,"51,952","$5,485,018","$4,158,967"
,TOTAL,,"51,961","$5,487,214","$4,160,723"
11422,SG,,5,"$1,658","$1,326"
,OTHER,,"49,982","$5,948,127","$4,521,755"
,TOTAL,,"49,987","$5,949,785","$4,523,081"
11423,SG,,5,"$1,110",$888
,OTHER,,"20,468","$2,942,651","$2,252,499"
,TOTAL,,"20,473","$2,943,761","$2,253,387"
11424,SG,,681,"$264,532","$208,991"
