HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
10040,OTHER,INTEGUMENTARY,"26,947","$2,174,018.30 ","$1,610,469.68 "
,TOTAL,,"26,947","$2,174,018.30 ","$1,610,469.68 "
10060,80'S,,1,$13.17 ,$10.54 
,OTHER,,"571,640","$52,264,384.09 ","$38,689,133.93 "
,TOTAL,,"571,641","$52,264,397.26 ","$38,689,144.47 "
10061,OTHER,,"166,375","$26,903,891.48 ","$20,608,611.00 "
,TOTAL,,"166,375","$26,903,891.48 ","$20,608,611.00 "
10080,OTHER,,"2,006","$262,872.84 ","$193,491.76 "
,TOTAL,,"2,006","$262,872.84 ","$193,491.76 "
10081,OTHER,,755,"$148,464.31 ","$113,991.87 "
,TOTAL,,755,"$148,464.31 ","$113,991.87 "
10120,OTHER,,"40,412","$4,669,659.26 ","$3,447,941.42 "
,TOTAL,,"40,412","$4,669,659.26 ","$3,447,941.42 "
10121,SG,,342,"$138,876.16 ","$109,271.62 "
,OTHER,,"7,759","$1,567,225.35 ","$1,210,161.01 "
,TOTAL,,"8,101","$1,706,101.51 ","$1,319,432.63 "
10140,80'S,,1,$16.72 ,$13.38 
,OTHER,,"70,576","$8,296,993.83 ","$6,383,633.25 "
,TOTAL,,"70,577","$8,297,010.55 ","$6,383,646.63 "
10160,OTHER,,"63,722","$6,363,985.15 ","$4,865,850.05 "
,TOTAL,,"63,722","$6,363,985.15 ","$4,865,850.05 "
10180,SG,,307,"$127,782.37 ","$101,295.30 "
,80'S,,1,$29.22 ,$23.38 
,OTHER,,"15,447","$2,450,045.63 ","$1,927,968.38 "
,TOTAL,,"15,755","$2,577,857.22 ","$2,029,287.06 "
11000,OTHER,,"139,671","$6,081,155.87 ","$4,582,038.98 "
,TOTAL,,"139,671","$6,081,155.87 ","$4,582,038.98 "
11001,OTHER,,"4,197","$89,644.90 ","$69,029.25 "
,TOTAL,,"4,197","$89,644.90 ","$69,029.25 "
11004,80'S,,2,$87.02 ,$69.62 
,OTHER,,"2,424","$1,215,394.04 ","$958,238.63 "
,TOTAL,,"2,426","$1,215,481.06 ","$958,308.25 "
11005,80'S,,23,"$2,802.67 ","$2,242.12 "
,OTHER,,"3,773","$2,723,598.94 ","$2,163,518.77 "
,TOTAL,,"3,796","$2,726,401.61 ","$2,165,760.89 "
11006,OTHER,,748,"$470,656.20 ","$373,147.06 "
,TOTAL,,748,"$470,656.20 ","$373,147.06 "
11008,80'S,,18,$839.81 ,$668.33 
,OTHER,,"1,169","$333,001.00 ","$264,818.28 "
,TOTAL,,"1,187","$333,840.81 ","$265,486.61 "
11010,SG,,46,"$14,755.39 ","$11,804.29 "
,80'S,,5,$187.50 ,$150.00 
,OTHER,,"3,043","$679,394.30 ","$537,235.94 "
,TOTAL,,"3,094","$694,337.19 ","$549,190.23 "
11011,SG,,31,"$9,865.01 ","$7,892.00 "
,80'S,,8,$326.85 ,$261.47 
,OTHER,,"2,605","$707,628.35 ","$560,317.79 "
,TOTAL,,"2,644","$717,820.21 ","$568,471.26 "
11012,SG,,184,"$51,993.19 ","$41,169.06 "
,80'S,,25,"$1,331.14 ","$1,008.78 "
,OTHER,,"7,342","$2,279,229.09 ","$1,804,141.44 "
,TOTAL,,"7,551","$2,332,553.42 ","$1,846,319.28 "
11040,OTHER,,"1,187,584","$41,362,780.49 ","$31,044,346.75 "
,TOTAL,,"1,187,584","$41,362,780.49 ","$31,044,346.75 "
11041,OTHER,,"758,565","$38,823,114.31 ","$29,685,953.37 "
,TOTAL,,"758,565","$38,823,114.31 ","$29,685,953.37 "
11042,SG,,"12,214","$4,282,255.95 ","$3,405,079.25 "
,80'S,,6,$69.78 ,$55.80 
,OTHER,,"1,140,412","$72,400,866.25 ","$56,453,537.27 "
,TOTAL,,"1,152,632","$76,683,191.98 ","$59,858,672.32 "
11043,SG,,"1,771","$649,483.02 ","$516,070.85 "
,80'S,,2,$53.09 ,$42.48 
,OTHER,,"220,080","$40,424,721.23 ","$32,025,562.08 "
,TOTAL,,"221,853","$41,074,257.34 ","$32,541,675.41 "
11044,SG,,"1,029","$365,559.23 ","$288,771.59 "
,80'S,,1,$43.86 ,$35.09 
,OTHER,,"56,714","$13,857,802.17 ","$10,997,413.65 "
,TOTAL,,"57,744","$14,223,405.26 ","$11,286,220.33 "
11055,OTHER,,"688,404","$26,459,572.79 ","$19,565,097.39 "
,TOTAL,,"688,404","$26,459,572.79 ","$19,565,097.39 "
11056,80'S,,3,$27.94 ,$22.36 
,OTHER,,"1,404,868","$69,887,062.69 ","$51,885,438.71 "
,TOTAL,,"1,404,871","$69,887,090.63 ","$51,885,461.07 "
11057,OTHER,,"274,792","$16,803,377.78 ","$12,479,354.84 "
,TOTAL,,"274,792","$16,803,377.78 ","$12,479,354.84 "
11100,OTHER,,"2,223,256","$164,346,786.81 ","$121,972,208.29 "
,TOTAL,,"2,223,256","$164,346,786.81 ","$121,972,208.29 "
11101,OTHER,,"948,026","$26,863,487.06 ","$20,976,919.52 "
,TOTAL,,"948,026","$26,863,487.06 ","$20,976,919.52 "
11200,OTHER,,"111,790","$6,781,059.39 ","$4,811,617.07 "
,TOTAL,,"111,790","$6,781,059.39 ","$4,811,617.07 "
11201,OTHER,,"14,242","$242,848.17 ","$184,953.02 "
,TOTAL,,"14,242","$242,848.17 ","$184,953.02 "
11300,OTHER,,"88,596","$3,295,396.99 ","$2,438,051.17 "
,TOTAL,,"88,596","$3,295,396.99 ","$2,438,051.17 "
11301,OTHER,,"172,521","$9,679,942.15 ","$7,234,026.29 "
,TOTAL,,"172,521","$9,679,942.15 ","$7,234,026.29 "
11302,OTHER,,"105,286","$7,816,974.35 ","$5,901,551.61 "
,TOTAL,,"105,286","$7,816,974.35 ","$5,901,551.61 "
11303,OTHER,,"17,345","$1,683,710.52 ","$1,276,417.38 "
,TOTAL,,"17,345","$1,683,710.52 ","$1,276,417.38 "
11305,OTHER,,"104,104","$5,017,586.29 ","$3,702,856.06 "
,TOTAL,,"104,104","$5,017,586.29 ","$3,702,856.06 "
11306,OTHER,,"98,086","$6,291,101.53 ","$4,713,022.24 "
,TOTAL,,"98,086","$6,291,101.53 ","$4,713,022.24 "
