HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
10040,OTHER,INTEGUMENTARY,"25,812","$2,058,831.13 ","$1,528,765.94 "
,TOTAL,,"25,812","$2,058,831.13 ","$1,528,765.94 "
10060,OTHER,,"593,851","$54,123,077.04 ","$40,334,134.28 "
,TOTAL,,"593,851","$54,123,077.04 ","$40,334,134.28 "
10061,OTHER,,"163,214","$26,443,464.75 ","$20,377,739.35 "
,TOTAL,,"163,214","$26,443,464.75 ","$20,377,739.35 "
10080,OTHER,,"2,199","$284,475.64 ","$210,299.94 "
,TOTAL,,"2,199","$284,475.64 ","$210,299.94 "
10081,OTHER,,744,"$144,068.44 ","$111,676.64 "
,TOTAL,,744,"$144,068.44 ","$111,676.64 "
10120,OTHER,,"40,955","$4,667,364.85 ","$3,470,476.54 "
,TOTAL,,"40,955","$4,667,364.85 ","$3,470,476.54 "
10121,SG,,274,"$109,540.19 ","$86,550.58 "
,OTHER,,"7,899","$1,586,745.29 ","$1,232,245.34 "
,TOTAL,,"8,173","$1,696,285.48 ","$1,318,795.92 "
10140,OTHER,,"75,574","$8,877,360.04 ","$6,870,322.36 "
,TOTAL,,"75,574","$8,877,360.04 ","$6,870,322.36 "
10160,OTHER,,"66,273","$6,560,657.31 ","$5,042,985.08 "
,TOTAL,,"66,273","$6,560,657.31 ","$5,042,985.08 "
10180,SG,,319,"$131,881.10 ","$104,247.23 "
,OTHER,,"16,905","$2,622,720.98 ","$2,066,123.72 "
,TOTAL,,"17,224","$2,754,602.08 ","$2,170,370.95 "
11000,OTHER,,"155,761","$6,806,519.42 ","$5,150,033.89 "
,TOTAL,,"155,761","$6,806,519.42 ","$5,150,033.89 "
11001,OTHER,,"3,477","$70,706.81 ","$54,717.91 "
,TOTAL,,"3,477","$70,706.81 ","$54,717.91 "
11004,80'S,,1,$88.90 ,$71.12 
,OTHER,,"2,172","$1,036,217.71 ","$822,733.56 "
,TOTAL,,"2,173","$1,036,306.61 ","$822,804.68 "
11005,80'S,,19,"$2,261.80 ","$1,809.42 "
,OTHER,,"3,299","$2,362,551.77 ","$1,872,835.06 "
,TOTAL,,"3,318","$2,364,813.57 ","$1,874,644.48 "
11006,OTHER,,575,"$363,526.89 ","$289,434.15 "
,TOTAL,,575,"$363,526.89 ","$289,434.15 "
11008,80'S,,10,$456.94 ,$365.57 
,OTHER,,"1,027","$291,638.33 ","$230,527.32 "
,TOTAL,,"1,037","$292,095.27 ","$230,892.89 "
11010,SG,,42,"$12,203.50 ","$9,483.60 "
,80'S,,4,$96.68 ,$77.36 
,OTHER,,"3,285","$709,889.95 ","$558,707.00 "
,TOTAL,,"3,331","$722,190.13 ","$568,267.96 "
11011,SG,,33,"$10,989.48 ","$8,791.56 "
,80'S,,8,$311.17 ,$204.61 
,OTHER,,"3,084","$827,750.74 ","$654,604.48 "
,TOTAL,,"3,125","$839,051.39 ","$663,600.65 "
11012,SG,,180,"$49,363.17 ","$39,344.00 "
,80'S,,31,"$1,569.73 ","$1,255.77 "
,OTHER,,"7,640","$2,377,356.73 ","$1,877,722.51 "
,TOTAL,,"7,851","$2,428,289.63 ","$1,918,322.28 "
11040,OTHER,,"1,277,235","$44,714,763.41 ","$33,681,028.29 "
,TOTAL,,"1,277,235","$44,714,763.41 ","$33,681,028.29 "
11041,OTHER,,"739,879","$38,346,246.11 ","$29,339,254.02 "
,TOTAL,,"739,879","$38,346,246.11 ","$29,339,254.02 "
11042,SG,,"7,869","$2,782,968.50 ","$2,209,428.75 "
,80'S,,2,$23.44 ,$18.76 
,OTHER,,"1,051,019","$67,218,648.51 ","$52,509,436.97 "
,TOTAL,,"1,058,890","$70,001,640.45 ","$54,718,884.48 "
11043,SG,,"1,668","$609,300.73 ","$485,142.47 "
,80'S,,1,$14.78 ,$11.82 
,OTHER,,"212,983","$38,364,560.94 ","$30,432,681.04 "
,TOTAL,,"214,652","$38,973,876.45 ","$30,917,835.33 "
11044,SG,,940,"$340,017.37 ","$270,576.94 "
,OTHER,,"54,978","$13,289,249.89 ","$10,549,187.43 "
,TOTAL,,"55,918","$13,629,267.26 ","$10,819,764.37 "
11055,OTHER,,"651,745","$24,914,092.25 ","$18,495,862.84 "
,TOTAL,,"651,745","$24,914,092.25 ","$18,495,862.84 "
11056,OTHER,,"1,299,405","$64,273,727.15 ","$47,914,879.46 "
,TOTAL,,"1,299,405","$64,273,727.15 ","$47,914,879.46 "
11057,OTHER,,"255,049","$15,544,348.36 ","$11,581,143.22 "
,TOTAL,,"255,049","$15,544,348.36 ","$11,581,143.22 "
11100,OTHER,,"2,139,949","$159,346,399.52 ","$119,163,061.08 "
,TOTAL,,"2,139,949","$159,346,399.52 ","$119,163,061.08 "
11101,OTHER,,"899,577","$25,680,630.01 ","$20,112,265.99 "
,TOTAL,,"899,577","$25,680,630.01 ","$20,112,265.99 "
11200,OTHER,,"116,870","$7,164,593.98 ","$5,162,211.24 "
,TOTAL,,"116,870","$7,164,593.98 ","$5,162,211.24 "
11201,OTHER,,"15,524","$261,987.41 ","$201,009.29 "
,TOTAL,,"15,524","$261,987.41 ","$201,009.29 "
11300,OTHER,,"91,606","$3,408,699.46 ","$2,539,017.50 "
,TOTAL,,"91,606","$3,408,699.46 ","$2,539,017.50 "
11301,80'S,,2,$11.28 ,$9.03 
,OTHER,,"171,929","$9,783,356.20 ","$7,370,712.11 "
,TOTAL,,"171,931","$9,783,367.48 ","$7,370,721.14 "
11302,80'S,,4,$17.80 ,$14.24 
,OTHER,,"106,720","$7,920,837.01 ","$6,007,580.33 "
,TOTAL,,"106,724","$7,920,854.81 ","$6,007,594.57 "
11303,OTHER,,"17,550","$1,713,559.95 ","$1,306,815.01 "
,TOTAL,,"17,550","$1,713,559.95 ","$1,306,815.01 "
11305,80'S,,1,$10.47 ,$8.38 
,OTHER,,"112,030","$5,421,819.10 ","$4,032,732.64 "
,TOTAL,,"112,031","$5,421,829.57 ","$4,032,741.02 "
11306,OTHER,,"100,275","$6,497,234.70 ","$4,910,109.06 "
,TOTAL,,"100,275","$6,497,234.70 ","$4,910,109.06 "
11307,OTHER,,"44,386","$3,521,831.15 ","$2,672,762.78 "
,TOTAL,,"44,386","$3,521,831.15 ","$2,672,762.78 "
11308,OTHER,,"9,481","$933,192.31 ","$716,895.24 "
,TOTAL,,"9,481","$933,192.31 ","$716,895.24 "
11310,80'S,,1,$3.29 ,$2.63 
,OTHER,,"100,270","$5,180,708.44 ","$3,859,621.06 "
,TOTAL,,"100,271","$5,180,711.73 ","$3,859,623.69 "
11311,OTHER,,"130,631","$9,137,174.66 ","$6,895,274.55 "
,TOTAL,,"130,631","$9,137,174.66 ","$6,895,274.55 "
11312,OTHER,,"54,882","$4,726,714.93 ","$3,587,333.03 "
,TOTAL,,"54,882","$4,726,714.93 ","$3,587,333.03 "
11313,OTHER,,"8,025","$968,790.00 ","$745,747.91 "
,TOTAL,,"8,025","$968,790.00 ","$745,747.91 "
11400,OTHER,,"59,082","$5,018,742.12 ","$3,783,063.29 "
,TOTAL,,"59,082","$5,018,742.12 ","$3,783,063.29 "
11401,OTHER,,"107,646","$10,496,526.22 ","$7,987,435.18 "
,TOTAL,,"107,646","$10,496,526.22 ","$7,987,435.18 "
11402,OTHER,,"126,114","$13,630,535.70 ","$10,425,091.34 "
,TOTAL,,"126,114","$13,630,535.70 ","$10,425,091.34 "
11403,OTHER,,"59,013","$7,189,295.99 ","$5,523,319.80 "
,TOTAL,,"59,013","$7,189,295.99 ","$5,523,319.80 "
11404,SG,,"1,344","$363,721.54 ","$286,341.90 "
,OTHER,,"24,302","$3,319,395.63 ","$2,559,008.25 "
,TOTAL,,"25,646","$3,683,117.17 ","$2,845,350.15 "
11406,SG,,"1,792","$694,862.22 ","$546,715.81 "
,OTHER,,"23,622","$3,920,856.30 ","$3,049,497.77 "
,TOTAL,,"25,414","$4,615,718.52 ","$3,596,213.58 "
11420,OTHER,,"37,217","$3,188,215.24 ","$2,422,513.58 "
,TOTAL,,"37,217","$3,188,215.24 ","$2,422,513.58 "
11421,OTHER,,"49,648","$5,330,684.66 ","$4,063,297.14 "
,TOTAL,,"49,648","$5,330,684.66 ","$4,063,297.14 "
11422,OTHER,,"52,039","$6,170,989.47 ","$4,722,910.51 "
,TOTAL,,"52,039","$6,170,989.47 ","$4,722,910.51 "
11423,OTHER,,"22,303","$3,140,073.11 ","$2,416,545.64 "
,TOTAL,,"22,303","$3,140,073.11 ","$2,416,545.64 "
11424,SG,,731,"$280,331.58 ","$222,908.37 "
,OTHER,,"7,720","$1,180,661.24 ","$912,227.17 "
,TOTAL,,"8,451","$1,460,992.82 ","$1,135,135.54 "
11426,SG,,541,"$211,827.57 ","$166,905.40 "
,OTHER,,"5,601","$1,272,635.82 ","$994,363.36 "
,TOTAL,,"6,142","$1,484,463.39 ","$1,161,268.76 "
11440,80'S,,1,$5.99 ,$4.79 
,OTHER,,"69,520","$6,879,196.93 ","$5,213,670.83 "
,TOTAL,,"69,521","$6,879,202.92 ","$5,213,675.62 "
11441,OTHER,,"76,598","$8,935,152.66 ","$6,832,270.76 "
,TOTAL,,"76,598","$8,935,152.66 ","$6,832,270.76 "
11442,OTHER,,"59,861","$7,526,995.41 ","$5,790,125.39 "
,TOTAL,,"59,861","$7,526,995.41 ","$5,790,125.39 "
11443,OTHER,,"17,785","$2,739,708.24 ","$2,121,873.16 "
,TOTAL,,"17,785","$2,739,708.24 ","$2,121,873.16 "
11444,SG,,677,"$177,054.35 ","$139,547.02 "
,OTHER,,"5,007","$1,044,933.01 ","$815,087.62 "
,TOTAL,,"5,684","$1,221,987.36 ","$954,634.64 "
11446,SG,,306,"$107,424.87 ","$84,911.82 "
,OTHER,,"2,615","$715,510.41 ","$562,814.83 "
,TOTAL,,"2,921","$822,935.28 ","$647,726.65 "
11450,SG,,62,"$24,375.62 ","$19,342.87 "
,OTHER,,737,"$149,346.15 ","$117,674.90 "
,TOTAL,,799,"$173,721.77 ","$137,017.77 "
11451,SG,,14,"$5,680.86 ","$4,544.70 "
,OTHER,,275,"$64,367.43 ","$50,640.48 "
,TOTAL,,289,"$70,048.29 ","$55,185.18 "
11462,SG,,41,"$15,630.40 ","$11,472.56 "
,80'S,,1,$32.25 ,$25.80 
,OTHER,,356,"$61,596.31 ","$48,329.33 "
,TOTAL,,398,"$77,258.96 ","$59,827.69 "
11463,SG,,5,"$1,760.14 ","$1,408.11 "
,80'S,,1,$46.62 ,$37.30 
,OTHER,,128,"$29,577.94 ","$23,051.27 "
,TOTAL,,134,"$31,384.70 ","$24,496.68 "
11470,SG,,23,"$9,779.58 ","$7,823.66 "
,OTHER,,427,"$86,096.64 ","$67,312.94 "
,TOTAL,,450,"$95,876.22 ","$75,136.60 "
11471,SG,,14,"$5,235.09 ","$3,824.50 "
,OTHER,,176,"$47,617.66 ","$37,381.92 "
,TOTAL,,190,"$52,852.75 ","$41,206.42 "
11600,OTHER,,"8,838","$1,069,869.43 ","$824,255.24 "
,TOTAL,,"8,838","$1,069,869.43 ","$824,255.24 "
11601,OTHER,,"40,138","$5,365,271.23 ","$4,150,300.23 "
,TOTAL,,"40,138","$5,365,271.23 ","$4,150,300.23 "
11602,OTHER,,"132,575","$16,542,852.64 ","$12,858,049.47 "
,TOTAL,,"132,575","$16,542,852.64 ","$12,858,049.47 "
11603,OTHER,,"67,174","$9,041,804.63 ","$7,050,434.04 "
,TOTAL,,"67,174","$9,041,804.63 ","$7,050,434.04 "
11604,SG,,"1,104","$346,988.74 ","$276,274.46 "
,OTHER,,"26,698","$3,758,498.80 ","$2,935,340.66 "
,TOTAL,,"27,802","$4,105,487.54 ","$3,211,615.12 "
11606,SG,,"1,674","$561,902.77 ","$445,156.93 "
,OTHER,,"25,528","$5,177,172.65 ","$4,081,429.49 "
,TOTAL,,"27,202","$5,739,075.42 ","$4,526,586.42 "
11620,OTHER,,"4,686","$518,259.50 ","$398,052.48 "
,TOTAL,,"4,686","$518,259.50 ","$398,052.48 "
11621,OTHER,,"21,496","$2,708,994.45 ","$2,096,325.88 "
,TOTAL,,"21,496","$2,708,994.45 ","$2,096,325.88 "
11622,OTHER,,"56,861","$7,681,582.73 ","$5,966,198.14 "
,TOTAL,,"56,861","$7,681,582.73 ","$5,966,198.14 "
11623,OTHER,,"24,716","$3,869,855.63 ","$3,022,546.75 "
,TOTAL,,"24,716","$3,869,855.63 ","$3,022,546.75 "
11624,SG,,701,"$225,863.05 ","$178,506.17 "
,OTHER,,"9,021","$1,721,594.15 ","$1,353,513.55 "
,TOTAL,,"9,722","$1,947,457.20 ","$1,532,019.72 "
11626,SG,,681,"$220,413.80 ","$175,182.26 "
